,Participant_Code,Event_Type,Event1,Event2,Correlations_alt,Correlations_true,Sections1,Sections2
231,ADQ001,Speech,Speech 2,Speech 7,-0.008772538505175238,0.022364790358043635,Speech,Speech
232,ADQ054,Speech,Speech 2,Speech 7,-0.005757516222766483,0.02774003836232931,Speech,Speech
233,ADQ011,Speech,Speech 2,Speech 7,0.0026862170102231746,0.004985440831360533,Speech,Speech
234,ADQ061,Speech,Speech 2,Speech 7,-0.0026271211222890617,0.0034009980027997176,Speech,Speech
235,ADR067,Speech,Speech 2,Speech 7,0.013913826181132929,0.016732731715221782,Speech,Speech
236,AEQ080,Speech,Speech 2,Speech 7,0.0368634684520614,0.011499094938502988,Speech,Speech
237,ADQ014,Speech,Speech 2,Speech 7,0.009980064138624291,0.008269802054828659,Speech,Speech
238,ADQ040,Speech,Speech 2,Speech 7,-0.0017786435534797034,0.011704955572688767,Speech,Speech
239,ADQ062,Speech,Speech 2,Speech 7,-0.010198539155648676,-0.013896856223860256,Speech,Speech
240,AEQ085,Speech,Speech 2,Speech 7,0.02668636847529724,0.0013409649122619557,Speech,Speech
241,ADQ052,Speech,Speech 2,Speech 7,0.00043836119875641683,0.02051010565132421,Speech,Speech
242,ADQ056,Speech,Speech 2,Speech 7,0.05247088195600921,0.011663958483723588,Speech,Speech
243,ADQ012,Speech,Speech 2,Speech 7,-0.0013186349043611742,0.017754768886201613,Speech,Speech
244,ADQ022,Speech,Speech 2,Speech 7,0.020269783574183197,0.016539117101006588,Speech,Speech
245,ADQ037,Speech,Speech 2,Speech 7,0.03303981352024615,0.013684457469951231,Speech,Speech
246,ADQ013,Speech,Speech 2,Speech 7,-0.0007028744736088532,0.027095230180174103,Speech,Speech
247,ADR071,Speech,Speech 2,Speech 7,0.0029132854188678808,0.011400359000634621,Speech,Speech
248,ADQ055,Speech,Speech 2,Speech 7,0.02869415258433957,-0.0006465530074667202,Speech,Speech
249,ADQ009,Speech,Speech 2,Speech 7,0.01280989342018721,-0.007710545861573202,Speech,Speech
250,ADQ047,Speech,Speech 2,Speech 7,-0.006625251065105421,0.006975580264250452,Speech,Speech
251,AEQ082,Speech,Speech 2,Speech 7,-0.01936559734391632,0.03013978187545403,Speech,Speech
252,AER090,Speech,Speech 2,Speech 7,0.02212351894946929,0.018894345805216036,Speech,Speech
253,ADQ031,Speech,Speech 2,Speech 7,-0.00510056623632088,0.011327261551845477,Speech,Speech
254,ADQ015,Speech,Speech 2,Speech 7,0.022972296523939485,0.015112777400955091,Speech,Speech
255,ADQ050,Speech,Speech 2,Speech 7,0.020341661096509384,0.018920167983048325,Speech,Speech
256,ADQ034,Speech,Speech 2,Speech 7,0.00030924325486114435,0.017634997247318998,Speech,Speech
257,ADQ010,Music,Folk 4,Beeth. 4,0.00400227656224953,0.01608994054888211,Folk,Beethoven
258,ADQ023,Music,Folk 4,Beeth. 4,-0.004676466276795353,0.005180434770740897,Folk,Beethoven
259,ADQ007,Music,Folk 4,Beeth. 4,-0.0014204560630931647,0.00299924994581033,Folk,Beethoven
260,ADQ030,Music,Folk 4,Beeth. 4,-0.0007555986542862685,0.006742844753774537,Folk,Beethoven
261,ADQ006,Music,Folk 4,Beeth. 4,0.00034052250092139985,0.0029683096338655336,Folk,Beethoven
262,ADQ019,Music,Folk 4,Beeth. 4,-0.0033316740644084328,-0.0008048711599389499,Folk,Beethoven
263,ADQ026,Music,Folk 4,Beeth. 4,0.012357822072264471,0.0081817783682916,Folk,Beethoven
264,ADQ046,Music,Folk 4,Beeth. 4,-0.008033619333699518,-0.003795387935830342,Folk,Beethoven
265,ADQ049,Music,Folk 4,Beeth. 4,-0.013989953233773845,0.008099028703209183,Folk,Beethoven
266,ADQ057,Music,Folk 4,Beeth. 4,0.0007868887111400461,0.014431790957843027,Folk,Beethoven
267,ADR069,Music,Folk 4,Beeth. 4,0.002675052562323773,0.0006279773874699653,Folk,Beethoven
